Course,Year,Semester,Subject
MBA AGRIBUSINESS,2nd,4,Service Marketing
MBA AGRIBUSINESS,2nd,4,Financial Derivatives and Risk Management
MBA AGRIBUSINESS,2nd,4,Corporate Accounting
MBA AGRIBUSINESS,2nd,4,Financial Markets and Services
MBA AGRIBUSINESS,2nd,4,Manpower Planning Recruitment and Selection
MBA AGRIBUSINESS,2nd,4,Employee Relations and Labour Laws
MBA AGRIBUSINESS,2nd,4,Strategic HRM
MBA AGRIBUSINESS,2nd,4,Data Visualization For Manager
MBA AGRIBUSINESS,2nd,4,Sales & Operations Planning
MBA AGRIBUSINESS,2nd,4,Behavioral Operations Management
MBA AGRIBUSINESS,2nd,4,Supply Chain Analytics
MBA AGRIBUSINESS,2nd,4,Agri Supply Chain Management
MBA AGRIBUSINESS,2nd,4,Management of Agricultural Input Marketing
MBA AGRIBUSINESS,2nd,4,Agri Business Financial Management
MBA in Hospital Management,1st,2,Health Economics
MBA in Hospital Management,1st,2,Hospital Financial Management
MBA in Hospital Management,1st,2,Strategic Management in Healthcare
MBA in Hospital Management,1st,2,Inventory Control & Purchase Management in Healthcare
MBA in Hospital Management,1st,2,Operations Research & Research Methodology in Hospitals
MBA in Hospital Management,1st,2,Management of Hospital Services
MBA in Hospital Management,2nd,4,Biomedical Waste Management & Environmental Health
MBA in Hospital Management,2nd,4,Entrepreneurship & Consultancy Management
MBA in Hospital Management,2nd,4,Health Insurance & Medical Tourism
B.Sc (H) in Clinical Nutrition & Dietetics,1st,2,Basic Human Physiology
B.Sc (H) in Clinical Nutrition & Dietetics,1st,2,Basic Human Physiology Lab
B.Sc (H) in Clinical Nutrition & Dietetics,1st,2,Medical Microbiology & Immunology
B.Sc (H) in Clinical Nutrition & Dietetics,1st,2,Basics of Life Skill Education
B.Sc (H) in Clinical Nutrition & Dietetics,1st,2,Modern Indian Language Begali
B.Sc (H) in Clinical Nutrition & Dietetics,1st,2,Food Preservation
B.Sc (H) in Clinical Nutrition & Dietetics,1st,2,Environmental Science II
B.Sc (H) in Clinical Nutrition & Dietetics,1st,2,Digital Transformation
B.Sc (H) in Clinical Nutrition & Dietetics,1st,2,Internship at Hospital
B.Sc (H) in Clinical Nutrition & Dietetics,1st,2,Modern Indian Language Hindi
B.Sc (H) in Clinical Nutrition & Dietetics,2nd,4,Nutritional Biochemistry II
B.Sc (H) in Clinical Nutrition & Dietetics,2nd,4,Nutritional Biochemistry II Lab.
B.Sc (H) in Clinical Nutrition & Dietetics,2nd,4,Advanced Nutrition
B.Sc (H) in Clinical Nutrition & Dietetics,2nd,4,Advanced Nutrition Lab.
B.Sc (H) in Clinical Nutrition & Dietetics,2nd,4,Food Commodities
B.Sc (H) in Clinical Nutrition & Dietetics,2nd,4,Food Commodities Lab
B.Sc (H) in Clinical Nutrition & Dietetics,2nd,4,Bioethics and Biosafety
B.Sc (H) in Clinical Nutrition & Dietetics,2nd,4,Modern Indian Language (English)
B.Sc (H) in Clinical Nutrition & Dietetics,3rd,6,Diet Councelling and Pateint Care
B.Sc (H) in Clinical Nutrition & Dietetics,3rd,6,Diet Councelling and Pateint Care Lab.
B.Sc (H) in Clinical Nutrition & Dietetics,3rd,6,Geriatric Nutrition
B.Sc (H) in Clinical Nutrition & Dietetics,3rd,6,Geriatric Nutrition lab.
B.Sc (H) in Clinical Nutrition & Dietetics,3rd,6,Community Nutrition
B.Sc (H) in Clinical Nutrition & Dietetics,3rd,6,Community Nutrition lab.
B.Sc (H) in Clinical Nutrition & Dietetics,3rd,6,FOOD PROCESSING AND NUTRITION SCIENCE
B.Sc (H) in Clinical Nutrition & Dietetics,3rd,6,Health Psychology
B.Sc (H) in Clinical Nutrition & Dietetics,3rd,6,Health Psychology Lab.
M.Sc in Food & Nutrition,1st,2,Principles of Human Health II
M.Sc in Food & Nutrition,1st,2,Community Nutrition
M.Sc in Food & Nutrition,1st,2,Food Microbiology
M.Sc in Food & Nutrition,1st,2,Public Health and Epidemiology
M.Sc in Food & Nutrition,1st,2,"Human Biology, Microbiology and Clinical Nutrition Lab."
M.Sc in Food & Nutrition,1st,2,"Principles of Communication, and Management for Self Entrepreneurship in Food and Nutrition"
M.Sc in Food & Nutrition,1st,2,Problems of Development and Pathologies Across Life Span
M.Sc in Food & Nutrition,2nd,4,Emerging Areas in Food and Nutrition
M.Sc in Food & Nutrition,2nd,4,Food and Nutrition in relation to other Sciences
M.Sc in Food & Nutrition,2nd,4,Policies and Standards in Food and Nutrition
M.Sc in Food & Nutrition,2nd,4,Visit to a food industry and market survey
M.Sc in Food & Nutrition,2nd,4,New Food Product Development Lab.
M.Sc in Food & Nutrition,2nd,4,Project Work and Grand Viva
M.A. & M.Sc. in Applied Psychology,1st,2,Research Methodology
M.A. & M.Sc. in Applied Psychology,1st,2,Psychometrics And Statistics
M.A. & M.Sc. in Applied Psychology,1st,2,Problems of Development and Pathologies Across Life Span
M.A. & M.Sc. in Applied Psychology,1st,2,"Research Methodology, Statistical Techniques & Computer Application Lab"
M.A. & M.Sc. in Applied Psychology,1st,2,Assessment at Various Levels of Development Lab
M.A. & M.Sc. in Applied Psychology,1st,2,Science of Happiness
M.A. & M.Sc. in Applied Psychology,2nd,4,Forensic and Correctional Psychology
M.A. & M.Sc. in Applied Psychology,2nd,4,Testing & Therapy in Clinical and Forensic Psychology Lab - I
M.A. & M.Sc. in Applied Psychology,2nd,4,Psychotherapy
M.A. & M.Sc. in Applied Psychology,2nd,4,Testing & Therapy in Clinical and Forensic Psychology Lab - II
M.A. & M.Sc. in Applied Psychology,2nd,4,Summer Project and Grand Viva
B.Sc Psychology,3rd,6,Health Psychology
B.Sc Psychology,3rd,6,Health Psychology Lab
B.Sc Psychology,3rd,6,Understanding and Dealing with Psychological Disorders
B.Sc Psychology,3rd,6,Understanding and Dealing with Psychological Disorders Lab
B.Sc Psychology,3rd,6,Positive Psychology
B.Sc Psychology,3rd,6,Positive Psychology Lab
B.Sc Psychology,3rd,6,Organizational Behaviour
B.Sc Psychology,3rd,6,Organizational Behaviour Lab
B.Sc Psychology,3rd,6,Geriatric Nutrition
M.Sc Microbiology,1st,2,Recombinant DNA Technology
M.Sc Microbiology,1st,2,Recombinant DNA Technology Lab
M.Sc Microbiology,1st,2,Ecology and Environmental Studies
M.Sc Microbiology,1st,2,Ecology and Environmental Studies Lab
M.Sc Microbiology,1st,2,Genetics (Prokaryotes & Eukaryotes)
M.Sc Microbiology,1st,2,Genetics (Prokaryotes & Eukaryotes) Lab
M.Sc Microbiology,1st,2,Biostatistics
M.Sc Microbiology,1st,2,Biostatistics Lab
M.Sc Microbiology,1st,2,Clinical Data Management (CDM)
M.Sc Microbiology,1st,2,Active Pharmaceutical Ingredient (API) Production
M.Sc Microbiology,2nd,4,Virology
M.Sc Microbiology,2nd,4,Immunology
M.Sc Microbiology,2nd,4,Immunology Lab
M.Sc Microbiology,2nd,4,Medical Biotechnology and Gene Therapy
M.Sc Microbiology,2nd,4,Computer Aptitude and Bioinformatics
M.Sc Microbiology,2nd,4,Computer Aptitude and Bioinformatics Lab
M.Sc Microbiology,2nd,4,Medical Scribing & Medical Coding
M.TECH Electrical Engineering (POWER SYSTEM),1st,2,Power System Operation and Control
M.TECH Electrical Engineering (POWER SYSTEM),1st,2,Power System Instrumentation
M.TECH Electrical Engineering (POWER SYSTEM),1st,2,Advanced Power System Protection
M.TECH Electrical Engineering (POWER SYSTEM),1st,2,Flexible A.C. Transmission System
M.TECH Electrical Engineering (POWER SYSTEM),1st,2,Advanced Control System
M.TECH Electrical Engineering (POWER SYSTEM),1st,2,Modeling and Simulation of dynamic systems
M.TECH Electrical Engineering (POWER SYSTEM),1st,2,Power System Operation and Control Lab
M.TECH Electrical Engineering (POWER SYSTEM),1st,2,Power System Instrumentation Lab
M.TECH Electrical Engineering (POWER SYSTEM),1st,2,Seminar II
M.TECH Electrical Engineering (POWER ELECTRONICS),1st,2,Power System Operation and Control
M.TECH Electrical Engineering (POWER ELECTRONICS),1st,2,Power System Instrumentation
M.TECH Electrical Engineering (POWER ELECTRONICS),1st,2,Advanced Power System Protection
M.TECH Electrical Engineering (POWER ELECTRONICS),1st,2,Advanced Control System
M.TECH Electrical Engineering (POWER ELECTRONICS),1st,2,Advanced Electrical Drives
M.TECH Electrical Engineering (POWER ELECTRONICS),1st,2,Power Electronics Application
M.TECH Electrical Engineering (POWER ELECTRONICS),1st,2,Power System Operation and Control Lab
M.TECH Electrical Engineering (POWER ELECTRONICS),1st,2,Power System Instrumentation Lab
M.TECH Electrical Engineering (POWER ELECTRONICS),1st,2,Seminar II
B.A. in English,3rd,6,N/A
M.Sc ANCS,1st,2,Advanced Cybersecurity Practices
M.Sc ANCS,1st,2,Advanced Cybersecurity
M.Sc ANCS,1st,2,Network Monitoring and Management
M.Sc ANCS,1st,2,Cybersecurity Law and Ethics
M.Sc ANCS,2nd,4,Comprehensive Viva voce
M.Tech Mechanical Engineering,1st,2,Industrial Automation
M.Tech Mechanical Engineering,1st,2,Mechanics of Machining and Machine Tools
M.Tech Mechanical Engineering,1st,2,Work System Design
M.Tech Mechanical Engineering,1st,2,Elective III Industrial Engineering and Management
M.Tech Mechanical Engineering,1st,2,Elective IV Operations Research
M.Tech Mechanical Engineering,1st,2,3D Printing Lab
M.Tech Mechanical Engineering,1st,2,Thematic Design Lab
M.Tech Mechanical Engineering,1st,2,Research Seminar II
M.Tech Mechanical Engineering,2nd,4,Thesis Part II
